"term","yind","hour","time","coef","se","lb","ub"
"Intercept",16.0656565656566,16.0656565656566,"16:04",0.579290884998625,30.0788142546741,-58.3751850541627,59.5337668241599
"Intercept",16.2979797979798,16.2979797979798,"16:18",0.597758896885283,30.0790554490349,-58.3571897832231,59.5527075769937
"Intercept",16.530303030303,16.530303030303,"16:32",0.615359351372562,30.0793422969356,-58.3401515506212,59.5708702533664
"Intercept",16.7626262626263,16.7626262626263,"16:46",0.632144707839219,30.0796173657837,-58.3239053290967,59.5881947447752
"Intercept",16.9949494949495,16.9949494949495,"17:00",0.64818372107001,30.0798436572531,-58.308309847146,59.6046772892861
"Intercept",17.2272727272727,17.2272727272727,"17:14",0.663596970281537,30.0800683171156,-58.2933369312651,59.6205308718282
"Intercept",17.459595959596,17.459595959596,"17:28",0.678515314005403,30.0803457633473,-58.2789623821553,59.6359930101661
"Intercept",17.6919191919192,17.6919191919192,"17:42",0.693069610773205,30.0806928348796,-58.2650883455909,59.6512275671373
"Intercept",17.9242424242424,17.9242424242424,"17:55",0.707390719116543,30.0810800230498,-58.251526126061,59.6663075642941
"Intercept",18.1565656565657,18.1565656565657,"18:09",0.721608609012781,30.0814485846781,-58.2380306169564,59.681247834982
"Intercept",18.3888888888889,18.3888888888889,"18:23",0.735736334770986,30.0817756055462,-58.2245438520996,59.6960165216415
"Intercept",18.6212121212121,18.6212121212121,"18:37",0.749554642661736,30.0821160518303,-58.2113928189257,59.7105021042492
"Intercept",18.8535353535354,18.8535353535354,"18:51",0.762816842036547,30.0825201939503,-58.198922738106,59.7245564221791
"Intercept",19.0858585858586,19.0858585858586,"19:05",0.775276242246932,30.0829975620464,-58.187398979364,59.7379514638579
"Intercept",19.3181818181818,19.3181818181818,"19:19",0.786686152644407,30.0835124323472,-58.1769982147562,59.750370520045
"Intercept",19.5505050505051,19.5505050505051,"19:33",0.796810638540546,30.0840058891406,-58.1678409041749,59.761462181256
"Intercept",19.7828282828283,19.7828282828283,"19:47",0.80581621269739,30.0844696694094,-58.159744339345,59.7713767647398
"Intercept",20.0151515151515,20.0151515151515,"20:01",0.814383281046189,30.084961721671,-58.1521416934289,59.7809082555213
"Intercept",20.2474747474747,20.2474747474747,"20:15",0.82322571298009,30.0855254334802,-58.144404136641,59.7908555626012
