"term","hour","time","coef","lb","ub"
"tc",6.83333333333333,"06:50",-1.48320437743332e-07,-0.0013938036398261,0.00139350699895062
"tc",6.91666666666667,"06:55",-1.39258188015417e-07,-0.00139246220226728,0.00139218368589125
"tc",7,"07:00",-1.30195938287501e-07,-0.00139112076470846,0.00139086037283188
"tc",7.08333333333333,"07:05",-1.22096427109949e-07,-0.00139063889139606,0.00139039469854184
"tc",7.16666666666667,"07:10",-1.14059028096937e-07,-0.0013902124738415,0.0013899843557853
"tc",7.25,"07:15",-1.0612355022474e-07,-0.00138995317311197,0.00138974092601152
"tc",7.33333333333333,"07:20",-9.87588307411146e-08,-0.00139062972660263,0.00139043220894115
"tc",7.41666666666667,"07:25",-9.13941112574891e-08,-0.0013913062800933,0.00139112349187079
"tc",7.5,"07:30",-8.4145940262544e-08,-0.00139227102679366,0.00139210273491314
"tc",7.58333333333333,"07:35",-7.71017291227899e-08,-0.001393740111611,0.00139358590815275
"tc",7.66666666666667,"07:40",-7.00575179830358e-08,-0.00139520919642834,0.00139506908139237
"tc",7.75,"07:45",-6.29950767223351e-08,-0.00139671974891494,0.00139659375876149
"tc",7.83333333333333,"07:50",-5.5919202740937e-08,-0.00139826085652626,0.00139814901812078
"tc",7.91666666666667,"07:55",-4.88433287595389e-08,-0.00139980196413758,0.00139970427748006
"tc",8,"08:00",-4.14650400900755e-08,-0.00140068129661568,0.0014005983665355
"tc",8.08333333333333,"08:05",-3.40053320815179e-08,-0.0014013824588656,0.00140131444820144
"tc",8.16666666666667,"08:10",-2.654562407296e-08,-0.00140208362111553,0.00140203052986738
"tc",8.25,"08:15",-1.84373201195873e-08,-0.00140136688937841,0.00140133001473817
"tc",8.33333333333333,"08:20",-1.03290161662147e-08,-0.0014006501576413,0.00140062949960897
"tc",8.41666666666667,"08:25",-2.10113507535094e-09,-0.00139975521751944,0.00139975101524929
"tc",8.5,"08:30",6.57088966905096e-09,-0.00139819836053996,0.0013982115023193
"tc",8.58333333333333,"08:35",1.52429144134527e-08,-0.00139664150356047,0.0013966719893893
"tc",8.66666666666667,"08:40",2.40810030721383e-08,-0.00139511504908355,0.00139516321108969
"tc",8.75,"08:45",3.31444641859233e-08,-0.00139362985514581,0.00139369614407418
"tc",8.83333333333333,"08:50",4.22079252997081e-08,-0.00139214466120807,0.00139222907705867
"tc",8.91666666666667,"08:55",5.14108467438712e-08,-0.00139116346199581,0.0013912662836893
"tc",9,"09:00",6.06934598053933e-08,-0.00139047025976954,0.00139059164668915
"tc",9.08333333333333,"09:05",6.99760728669151e-08,-0.00138977705754326,0.001389917009689
"tc",9.16666666666667,"09:10",7.92984523142113e-08,-0.00139001909907235,0.00139017769597698
"tc",9.25,"09:15",8.86279329018244e-08,-0.0013904281484149,0.0013906054042807
"tc",9.33333333333333,"09:20",9.79498124654642e-08,-0.00139089259900959,0.00139108849863452
"tc",9.41666666666667,"09:25",1.07153876157522e-07,-0.00139221576901254,0.00139243007676486
"tc",9.5,"09:30",1.1635793984958e-07,-0.00139353893901549,0.00139377165489519
"tc",9.58333333333333,"09:35",1.2548081227331e-07,-0.00139493872529331,0.00139518968691785
"tc",9.66666666666667,"09:40",1.34387174648167e-07,-0.00139654282163742,0.00139681159598672
"tc",9.75,"09:45",1.43293537023024e-07,-0.00139814691798154,0.00139843350505559
"tc",9.83333333333333,"09:50",1.519720275245e-07,-0.00139945546563374,0.00139975940968878
"tc",9.91666666666667,"09:55",1.6040840416051e-07,-0.00140044999280077,0.00140077080960909
"tc",10,"10:00",1.6884478079652e-07,-0.0014014445199678,0.00140178220952939
"tc",10.0833333333333,"10:05",1.76854242808995e-07,-0.00140148457746288,0.00140183828594849
"tc",10.1666666666667,"10:10",1.8467808976776e-07,-0.00140110964814406,0.0014014790043236
"tc",10.25,"10:15",1.92501936726525e-07,-0.00140073471882525,0.0014011197226987
"tc",10.3333333333333,"10:20",1.99874673447614e-07,-0.00139939873244225,0.00139979848178915
"tc",10.4166666666667,"10:25",2.07202299144936e-07,-0.00139796664035283,0.00139838104495112
"tc",10.5,"10:30",2.14500030124595e-07,-0.00139651651386117,0.00139694551392142
"tc",10.5833333333333,"10:35",2.21581024401202e-07,-0.0013949356379532,0.001395378800002
"tc",10.6666666666667,"10:40",2.2866201867781e-07,-0.00139335476204523,0.00139381208608258
"tc",10.75,"10:45",2.35744366260883e-07,-0.00139198860376838,0.00139246009250091
"tc",10.8333333333333,"10:50",2.42829420456886e-07,-0.0013910518807538,0.00139153753959472
"tc",10.9166666666667,"10:55",2.49914474652889e-07,-0.00139011515773922,0.00139061498668853
"tc",11,"11:00",2.57138484081348e-07,-0.00138976217360813,0.0013902764505763
"tc",11.0833333333333,"11:05",2.64478289536855e-07,-0.00138989563854663,0.0013904245951257
"tc",11.1666666666667,"11:10",2.71818094992362e-07,-0.00139002910348513,0.00139057273967511
"tc",11.25,"11:15",2.79540811508183e-07,-0.00139092529057273,0.00139148437219575
"tc",11.3333333333333,"11:20",2.87386059563303e-07,-0.00139206554874804,0.00139264032086717
"tc",11.4166666666667,"11:25",2.95231307618424e-07,-0.00139320580692336,0.0013937962695386
"tc",11.5,"11:30",3.03809776463578e-07,-0.00139480356967709,0.00139541118923001
"tc",11.5833333333333,"11:35",3.12411158458421e-07,-0.00139641562944889,0.00139704045176581
"tc",11.6666666666667,"11:40",3.21195599595051e-07,-0.00139795876823834,0.00139860115943753
"tc",11.75,"11:45",3.30803806869725e-07,-0.00139919176260721,0.00139985337022095
"tc",11.8333333333333,"11:50",3.40412014144399e-07,-0.00140042475697608,0.00140110558100437
"tc",11.9166666666667,"11:55",3.5051061328544e-07,-0.00140116775084733,0.0014018687720739
"tc",12,"12:00",3.61363661451659e-07,-0.00140115689779917,0.00140187962512207
"tc",12.0833333333333,"12:05",3.72216709617878e-07,-0.001401146044751,0.00140189047817024
"tc",12.1666666666667,"12:10",3.83791766723586e-07,-0.0014003813772235,0.00140114896075695
"tc",12.25,"12:15",3.95836129639962e-07,-0.00139912673028444,0.00139991840254372
"tc",12.3333333333333,"12:20",4.07880492556338e-07,-0.00139787208334538,0.0013986878443305
"tc",12.4166666666667,"12:25",4.20617239263716e-07,-0.00139630742336809,0.00139714865784661
"tc",12.5,"12:30",4.3350784903576e-07,-0.00139467387160451,0.00139554088730259
"tc",12.5833333333333,"12:35",4.4641326193607e-07,-0.00139305462496904,0.00139394745149291
"tc",12.6666666666667,"12:40",4.59792374940899e-07,-0.00139189314243266,0.00139281272718255
"tc",12.75,"12:45",4.73171487945727e-07,-0.00139073165989629,0.00139167800287218
"tc",12.8333333333333,"12:50",4.86582300249924e-07,-0.00138981433927987,0.00139078750388037
"tc",12.9166666666667,"12:55",5.00092172864652e-07,-0.0013896600246633,0.00139066020900903
"tc",13,"13:00",5.13602045479379e-07,-0.00138950571004673,0.00139053291413769
"tc",13.0833333333333,"13:05",5.27008743542749e-07,-0.00138983806347033,0.00139089208095741
"tc",13.1666666666667,"13:10",5.40291632144491e-07,-0.00139075441854211,0.0013918350018064
"tc",13.25,"13:15",5.53574520746233e-07,-0.0013916707736139,0.00139277792265539
"tc",13.3333333333333,"13:20",5.66467590924062e-07,-0.00139301695647298,0.00139414989165482
"tc",13.4166666666667,"13:25",5.79165751889934e-07,-0.0013945780532257,0.00139573638472948
"tc",13.5,"13:30",5.91863912855806e-07,-0.00139613914997843,0.00139732287780415
"tc",13.5833333333333,"13:35",6.03733841503379e-07,-0.00139757010881047,0.00139877757649348
"tc",13.6666666666667,"13:40",6.15489531210497e-07,-0.00139898311758448,0.0014002140966469
"tc",13.75,"13:45",6.2712709410256e-07,-0.00140030009366787,0.00140155434785607
"tc",13.8333333333333,"13:50",6.37583388844067e-07,-0.00140065674284498,0.00140193190962267
"tc",13.9166666666667,"13:55",6.48039683585575e-07,-0.00140101339202209,0.00140230947138927
"tc",14,"14:00",6.58024127165574e-07,-0.00140095534062142,0.00140227138887575
"tc",14.0833333333333,"14:05",6.669233130741e-07,-0.00139994347789185,0.001401277324518
"tc",14.1666666666667,"14:10",6.75822498982626e-07,-0.00139893161516227,0.00140028326016024
"tc",14.25,"14:15",6.838860357587e-07,-0.0013976063254828,0.00139897409755432
"tc",14.3333333333333,"14:20",6.91163079233641e-07,-0.00139598604573283,0.0013973683718913
"tc",14.4166666666667,"14:25",6.98440122708582e-07,-0.00139436576598287,0.00139576264622828
"tc",14.5,"14:30",7.04506229237042e-07,-0.0013929507907261,0.00139435980318457
